Year,Location,BHK,Sqft,Price_per_sqft,Rate_of_Change_%,Future_Projects,Description
2021,Malad West,1,421,161.52,-4.86,Private residential complex,Influx of working professionals
2022,Malad West,3,1345,49.05,-2.99,IT corridor development,New highway construction
2023,Malad West,1,313,197.5,-6.29,No major projects,New metro line announced
2024,Malad West,2,972,66.86,5.13,Smart city initiative,New highway construction
2021,Kharghar,2,609,65.68,0.63,Private residential complex,Environmental concerns
2022,Kharghar,2,667,63.44,5.78,Metro expansion,New highway construction
2023,Kharghar,3,1077,39.14,-0.38,Private residential complex,Government housing scheme launched
2024,Kharghar,1,329,117.93,-7.96,No major projects,Water shortage issues
2021,Kalyan East,2,970,70.1,5.56,Affordable housing scheme,Environmental concerns
2022,Kalyan East,1,364,210.56,12.71,New flyover project,Private township project started
2023,Kalyan East,3,1350,62.76,10.54,New flyover project,New IT park proposed
2024,Kalyan East,3,1413,66.29,10.56,New flyover project,No major development
2021,Goregaon West,2,800,70.0,9.6,Private residential complex,Environmental concerns
2022,Goregaon West,1,381,157.25,6.98,Smart city initiative,Government housing scheme launched
2023,Goregaon West,1,348,183.72,6.71,IT corridor development,Water shortage issues
2024,Goregaon West,1,519,117.23,-4.84,No major projects,Environmental concerns
2021,Umroli,1,309,161.81,10.24,Commercial hub in planning,Environmental concerns
2022,Umroli,3,1394,37.03,3.25,Commercial hub in planning,New metro line announced
2023,Umroli,2,666,86.51,11.6,SEZ zone expansion,Private township project started
2024,Umroli,2,660,99.12,13.56,IT corridor development,Low demand
2021,Goregaon East,3,1261,25.38,1.29,Smart city initiative,Influx of working professionals
2022,Goregaon East,2,713,49.53,10.35,Private residential complex,New IT park proposed
2023,Goregaon East,1,493,74.05,3.38,No major projects,Private township project started
2024,Goregaon East,1,529,79.07,14.57,Smart city initiative,Environmental concerns
2021,Ulwe,3,1320,23.48,-0.82,No major projects,Improved infrastructure
2022,Ulwe,3,1170,28.71,8.35,SEZ zone expansion,Real estate slowdown
2023,Ulwe,2,694,44.85,-7.32,Green energy township,Improved infrastructure
2024,Ulwe,1,333,90.58,-3.1,New flyover project,New IT park proposed
2021,Titwala,2,811,104.81,-9.06,Metro expansion,Environmental concerns
2022,Titwala,1,503,175.73,3.99,IT corridor development,Real estate slowdown
2023,Titwala,3,1282,62.2,-9.79,Smart city initiative,Improved infrastructure
2024,Titwala,1,362,234.03,6.25,Private residential complex,New metro line announced
2021,Rasayani,3,1407,25.59,-2.72,SEZ zone expansion,New highway construction
2022,Rasayani,3,1232,33.27,13.85,Commercial hub in planning,New IT park proposed
2023,Rasayani,3,1114,41.07,11.63,SEZ zone expansion,Improved infrastructure
2024,Rasayani,3,1368,36.38,8.79,Commercial hub in planning,Low demand
2021,Badlapur West,3,1332,37.54,12.69,Commercial hub in planning,New highway construction
2022,Badlapur West,1,476,113.97,8.5,SEZ zone expansion,Water shortage issues
2023,Badlapur West,2,720,82.19,9.07,Green energy township,New highway construction
2024,Badlapur West,3,1306,49.45,9.15,Smart city initiative,Water shortage issues
2021,Dronagiri,2,610,73.77,9.75,IT corridor development,New IT park proposed
2022,Dronagiri,3,1126,36.08,-9.73,Commercial hub in planning,Influx of working professionals
2023,Dronagiri,2,983,46.67,12.92,Commercial hub in planning,Improved infrastructure
2024,Dronagiri,3,1435,29.81,-6.74,Commercial hub in planning,Water shortage issues
2021,Chembur,1,528,119.32,-4.88,SEZ zone expansion,Environmental concerns
2022,Chembur,3,1458,44.92,3.97,Commercial hub in planning,Private township project started
2023,Chembur,1,540,138.02,13.79,Affordable housing scheme,No major development
2024,Chembur,2,736,92.3,-8.85,New flyover project,New IT park proposed
2021,Kamothe,3,1089,59.69,-7.77,Metro expansion,Real estate slowdown
2022,Kamothe,2,868,70.74,-5.53,Metro expansion,Real estate slowdown
2023,Kamothe,1,544,108.15,-4.19,Private residential complex,No major development
2024,Kamothe,3,1087,53.06,-1.97,Smart city initiative,No major development
2021,Dombivli,1,408,75.98,14.32,IT corridor development,Private township project started
2022,Dombivli,1,306,97.98,-3.28,IT corridor development,Private township project started
2023,Dombivli,3,1308,24.6,7.3,Green energy township,No major development
2024,Dombivli,3,1095,28.22,-3.96,Metro expansion,New IT park proposed
2021,Jogeshwari West,2,693,50.51,-7.77,New flyover project,Environmental concerns
2022,Jogeshwari West,2,982,35.96,0.89,Commercial hub in planning,New metro line announced
2023,Jogeshwari West,3,1221,31.07,7.44,IT corridor development,Environmental concerns
2024,Jogeshwari West,3,1356,31.22,11.58,Affordable housing scheme,Low demand
2021,Vangani,1,389,210.8,-5.02,Affordable housing scheme,Water shortage issues
2022,Vangani,3,1391,66.74,13.21,Metro expansion,No major development
2023,Vangani,1,459,201.17,-0.53,SEZ zone expansion,Influx of working professionals
2024,Vangani,1,536,160.7,-6.72,Metro expansion,Real estate slowdown
2021,Shahapur,3,1080,56.48,8.05,No major projects,Government housing scheme launched
2022,Shahapur,3,1056,64.42,11.53,No major projects,No major development
2023,Shahapur,2,648,96.24,-8.33,Affordable housing scheme,Government housing scheme launched
2024,Shahapur,1,425,132.66,-9.59,Commercial hub in planning,New metro line announced
2021,Mulund West,3,1460,26.03,3.73,Affordable housing scheme,Real estate slowdown
2022,Mulund West,3,1329,32.63,14.1,Smart city initiative,Private township project started
2023,Mulund West,3,1425,31.04,2.0,Commercial hub in planning,New metro line announced
2024,Mulund West,3,1130,39.11,-0.06,Metro expansion,Private township project started
2021,Karjat,3,1313,35.8,-6.73,Smart city initiative,New highway construction
2022,Karjat,2,605,77.06,-0.81,Metro expansion,Government housing scheme launched
2023,Karjat,2,648,72.15,0.29,No major projects,Environmental concerns
2024,Karjat,1,472,113.27,14.35,Affordable housing scheme,Real estate slowdown
2021,Badlapur East,2,605,72.73,6.51,Smart city initiative,New metro line announced
2022,Badlapur East,1,540,81.74,0.32,SEZ zone expansion,No major development
2023,Badlapur East,1,383,121.57,5.49,Commercial hub in planning,New IT park proposed
2024,Badlapur East,3,1089,42.63,-0.31,Affordable housing scheme,Government housing scheme launched
2021,Bhiwandi,1,482,182.57,4.34,Affordable housing scheme,Improved infrastructure
2022,Bhiwandi,3,1155,86.18,13.11,Affordable housing scheme,No major development
2023,Bhiwandi,2,953,98.03,-6.14,Metro expansion,New highway construction
2024,Bhiwandi,1,501,175.39,-5.94,SEZ zone expansion,New metro line announced
2021,Andheri West,2,837,97.97,0.12,Metro expansion,New highway construction
2022,Andheri West,3,1427,53.53,-6.85,Smart city initiative,Improved infrastructure
2023,Andheri West,3,1442,51.66,-2.48,Commercial hub in planning,No major development
2024,Andheri West,3,1253,68.09,14.53,No major projects,New metro line announced
2021,Kurla,3,1492,50.27,4.18,Metro expansion,New metro line announced
2022,Kurla,2,876,83.89,-2.02,Smart city initiative,Government housing scheme launched
2023,Kurla,2,678,111.13,2.53,SEZ zone expansion,Real estate slowdown
2024,Kurla,1,303,264.47,6.36,Private residential complex,Government housing scheme launched
2021,Vichumbe,2,903,94.13,-2.4,Metro expansion,Environmental concerns
2022,Vichumbe,1,536,142.73,-10.0,Metro expansion,Real estate slowdown
2023,Vichumbe,1,324,246.07,4.21,No major projects,Influx of working professionals
2024,Vichumbe,1,551,149.27,3.16,Affordable housing scheme,Government housing scheme launched
2021,Kewale,3,1222,48.28,1.43,Commercial hub in planning,Water shortage issues
2022,Kewale,1,364,161.07,-0.63,No major projects,Influx of working professionals
2023,Kewale,2,897,61.46,-5.98,SEZ zone expansion,Private township project started
2024,Kewale,2,902,55.76,-8.76,SEZ zone expansion,Private township project started
2021,Koper Khairane,3,1394,48.06,-2.51,No major projects,Private township project started
2022,Koper Khairane,1,531,140.72,11.52,Private residential complex,No major development
2023,Koper Khairane,2,662,119.86,6.19,IT corridor development,Influx of working professionals
2024,Koper Khairane,1,551,140.33,-2.55,Metro expansion,Government housing scheme launched
2021,Dombivli East,2,926,65.87,8.55,Private residential complex,New IT park proposed
2022,Dombivli East,2,888,73.66,7.23,Metro expansion,Government housing scheme launched
2023,Dombivli East,3,1443,49.1,8.33,Smart city initiative,New highway construction
2024,Dombivli East,2,1000,76.73,8.29,New flyover project,Private township project started
2021,Nerul,1,583,128.64,2.52,New flyover project,New metro line announced
2022,Nerul,2,798,91.26,-2.9,Smart city initiative,Improved infrastructure
2023,Nerul,2,836,88.82,1.96,Smart city initiative,Government housing scheme launched
2024,Nerul,3,1110,63.19,-5.54,New flyover project,Environmental concerns
2021,Virar East,3,1036,55.98,-1.17,Commercial hub in planning,Influx of working professionals
2022,Virar East,2,707,93.23,13.65,New flyover project,No major development
2023,Virar East,1,500,123.67,-6.19,Smart city initiative,New highway construction
2024,Virar East,3,1357,41.18,-9.63,Private residential complex,Influx of working professionals
